age,education,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
29,16,5,0,2,2,-100,1,1,3,2,1,-100,1,-100,8,3,1,2,1,8,3,-100,2
87,15,3,0,2,1,3,1,1,5,4,0,-100,2,-100,6,1,-100,-100,-100,-100,-100,-100,2
41,16,1,0,8,2,3,1,1,1,4,0,-100,1,-100,2,1,4,-99,1,-98,0,-100,2
39,14,1,0,3,2,-100,3,16,4,-99,0,-100,1,-100,2,5,2,2,1,7,0,2,2
63,16,5,2,-100,2,3,2,2,4,1,8,1,-100,3,-100,-100,3,2,1,9,10,-100,3
41,16,4,4,-100,2,1,1,1,4,1,2,1,-100,4,-100,-100,1,2,2,9,4,2,3
68,13,3,1,8,2,-100,1,1,5,4,0,-100,1,-100,2,5,11,2,2,9,0,2,2
74,12,1,3,-100,2,3,1,1,4,2,7,1,-100,4,-100,-100,-100,-100,-100,-100,-100,-100,3
50,3,5,5,0,2,-98,2,2,5,4,4,-100,2,-100,4,-100,-100,-100,2,-100,-100,2,2
53,18,5,1,3,2,-100,2,2,3,1,5,-100,1,4,2,2,2,2,1,7,0,-100,1
34,16,5,1,2,1,-100,3,16,4,11,5,-100,1,-100,0,40,1,2,1,-98,2,-100,2
62,12,1,3,2,1,-100,2,2,4,1,-97,-100,1,1,2,30,-100,-100,2,-100,-100,-100,1
54,16,4,2,3,2,-100,3,16,4,1,2,-100,1,-100,3,25,-100,-100,2,-100,-100,-100,2
37,16,4,0,3,2,3,1,1,4,10,5,-100,1,-100,2,60,2,2,1,10,0,-100,2
65,12,3,2,2,1,-100,1,1,4,2,1,-100,1,-100,4,0,-100,-100,-100,-100,-100,2,2
42,16,1,2,-100,1,3,1,1,5,2,0,1,-100,4,-100,-100,5,2,1,10,2,2,3
47,12,5,5,-100,2,3,1,1,4,1,3,-100,-100,4,-100,-100,1,2,1,8,10,-100,3
49,18,5,0,3,1,-100,1,1,5,2,7,2,1,3,3,10,3,2,2,8,0,1,1
-99,18,1,2,3,1,-100,1,1,3,3,5,1,1,4,0,8,1,2,1,9,0,1,1
-99,18,1,0,2,2,3,3,5,3,4,0,-100,1,-100,2,8,2,2,2,9,4,-100,2
64,18,5,0,2,1,-100,1,1,4,1,0,-100,1,4,1,10,4,2,2,10,0,-100,1
60,16,3,-100,-100,1,-100,1,1,1,2,7,-97,-97,-97,1,10,-100,-100,-100,-100,-100,-100,1
45,12,1,3,2,1,-100,1,1,4,4,0,1,1,4,3,20,3,2,2,9,0,-100,1
56,20,1,1,2,1,-100,3,8,3,4,0,-100,1,4,4,5,-100,-100,-100,-100,-100,2,1
30,16,1,0,2,2,-100,3,5,2,4,2,-100,1,-100,0,1,1,2,2,8,2,1,2
74,18,1,3,8,1,-100,1,1,4,1,2,-100,1,-100,2,4,-100,-100,-100,-100,-100,2,2
-99,16,5,0,8,1,-100,2,2,4,4,1,-100,1,4,3,0,-100,-100,1,-100,-100,-100,1
25,13,1,0,2,2,-100,1,1,3,2,2,-100,1,-100,3,2,5,2,1,9,5,-100,2
29,16,5,0,2,1,-100,1,1,5,4,0,-100,1,4,2,2,3,2,2,6,0,-100,1
29,17,5,0,8,1,-100,-100,-100,2,4,2,1,1,4,2,0,-100,-100,1,-100,-100,-100,1
